hotel,country,total_reservas,cancelamentos,taxa_bruta,log_reservas,estimativa_bayesiana,erro_padrao,shrinkage,ic_inferior,ic_superior
City Hotel,BGD,12,9,0.75,1.0791812460476249,0.4952046061552456,0.09971287443404389,0.2547953938447544,0.29976737226451955,0.6906418400459716
City Hotel,BGR,70,12,0.17142857142857143,1.845098040014257,0.18583139908253554,0.04265862248242676,0.014402827653964112,0.10222049901697909,0.269442299148092
City Hotel,BHR,4,3,0.75,0.6020599913279624,0.37629324604432113,0.11701036354079332,0.37370675395567887,0.14695293350436622,0.605633558584276
City Hotel,BIH,12,3,0.25,1.0791812460476249,0.2565588788859696,0.08709997301862457,0.006558878885969621,0.08584293176946547,0.4272748260024738
City Hotel,BLR,19,6,0.3157894736842105,1.2787536009528289,0.2940205394681989,0.08036173300205288,0.021768934216011615,0.13651154278417527,0.4515295361522225
City Hotel,BOL,10,0,0,1,0.14909642338172488,0.07404138886606175,0.14909642338172488,0.0039753012042438585,0.2942175455592059
City Hotel,BRA,1794,729,0.40635451505016723,3.2538224387080734,0.40530872647395466,0.011548953582930578,0.0010457885762125696,0.3826727774514107,0.4279446754964986
City Hotel,BRB,4,0,0,0.6020599913279624,0.20128317475250562,0.09684362713330578,0.20128317475250562,0.011469665571226278,0.39109668393378494
City Hotel,CAF,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,CHE,1295,316,0.244015444015444,3.1122697684172707,0.2442016246968756,0.011878177975148405,1.8618068143158584e-4,0.2209203958655847,0.2674828535281665
City Hotel,CHL,48,13,0.2708333333333333,1.6812412373755872,0.2690524508409617,0.05671425381605793,0.001780882492371627,0.15789251336148813,0.38021238832043525
City Hotel,CHN,865,453,0.5236994219653179,2.9370161074648142,0.5197911469772096,0.01685959655023089,0.003908274988108307,0.4867463377387571,0.5528359562156622
City Hotel,CIV,4,2,0.5,0.6020599913279624,0.31795655561371594,0.11247624389842793,0.18204344438628406,0.0975031175727972,0.5384099936546347
City Hotel,CMR,8,0,0,0.9030899869919435,0.16320079721246053,0.0803711275836578,0.16320079721246053,0.005673387148491249,0.3207282072764298
City Hotel,CN,569,158,0.27768014059753954,2.7551122663950713,0.2773385291240571,0.018554879392041188,3.4161147348243937e-4,0.2409709655156564,0.3137060927324578
City Hotel,COL,55,19,0.34545454545454546,1.7403626894942439,0.3294651281920427,0.056938809899877936,0.015989417262502748,0.21786506078828194,0.4410651955958035
City Hotel,COM,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,CPV,19,12,0.631578947368421,1.2787536009528289,0.4806929354270058,0.08812728907234972,0.1508860119414152,0.3079634488452003,0.6534224220088113
City Hotel,CRI,17,1,0.058823529411764705,1.2304489213782739,0.14764744351525488,0.06461561752036446,0.08882391410349018,0.021000833175340544,0.27429405385516925
